Nr.;Name;Geburtstag;Position;Verein;LS;Tore;T/S
12;Silvio Heinevetter;21.10.1984;TW;Füchse Berlin;176;2;0
33;Andreas Wolff;03.03.1991;TW;THW Kiel;69;9;0,1
3;Uwe Gensheimer ;26.10.1986;LA;Paris Saint-Germain;156;722;4,6
7;Patrick Wiencek;22.03.1989;KR;THW Kiel;118;269;2,3
8;Tim Suton;08.05.1996;RL;TBV Lemgo;6;9;1,5
10;Fabian Wiede;08.02.1994;RR;Füchse Berlin;62;117;1,9
13;Hendrik Pekeler;02.07.1991;KR;Rhein-Neckar Löwen;80;124;1,6
17;Steffen Weinhold;19.07.1986;RR;THW Kiel;111;279;2,5
18;Tim Kneule;18.08.1986;RM;Frisch Auf Göppingen;30;44;1,5
22;Marian Michalczik;01.02.1997;RL;GWD Minden;8;6;0,8
24;Patrick Groetzki;04.07.1989;RA;Rhein-Neckar Löwen;128;345;2,7
25;Kai Häfner;10.07.1989;RR;TSV Hannover-Burgdorf;68;149;2,2
28;Evgeni Pevnov;13.02.1989;KR;TSV Hannover-Burgdorf;18;11;0,6
29;Tim Hornke;04.08.1990;RA;TBV Lemgo;17;40;2,4
35;Julius Kühn;01.04.1993;RL;MT Melsungen;48;155;3,2
37;Matthias Musche;18.07.1992;LA;SC Magdeburg;26;41;1,6
38;Fabian Böhm;24.06.1989;RL;TSV Hannover-Burgdorf;11;13;1,2
43;Niclas Pieczkowski;28.12.1989;RM;SC DHfK Leipzig;39;41;1,1
NA;Moritz Preuss;22.02.1995;KR;VfL Gummersbach;5;4;0,8
